id,uid,source_dataset,source_url,artist,genre,style,row_idx,local_relpath
0,wikiart_0000000,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/0/image/image.jpg?Expires=1772117701&Signature=S4LrXz6KFjOF5KH8sk6ISJ-6uV5KTR-Mt45LxINhenN~OPPOanRExH61in-Qz~gV4x~DhXerBtO46sUKn9TtfgtUPaPZRCdppaA3JtA7zDFAyZZrBFts8NIEnv6lmNIn4HWTnukveatP9t7vs3IiWiANHCGYdZAOFUCkDeiIU~E~pE5YE93cHxjh4~n0QcSGYl3Q~oyvCTika2BMWCP-kUg7kNAfJlxaMk4aVRxQst-J4hvH~1VG5tEWQvKVE3-iLINoAISv17a-uIRneup3Q1GQoaDbYrMw9WncNcTR9n5X5uBPBwIbAaf6sV9s7At7moeaVARuWWsqdYJCh5n9TQ__&Key-Pair-Id=K3EI6M078Z3AC3,22,4,21,0,raw/wikiart/wikiart_0000000.jpg
1,wikiart_0000001,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/1/image/image.jpg?Expires=1772117701&Signature=SF4y~UJD-7s40qmvXvAVM7Q4sK5ggU~hJ-1JDJLKQ-9-d-~QecpzzxtD7lR62RbMjttqRg9petf61rxeDma3-a7gbSuAk4ESPOZwovIR16px5t1iFmPVTsmrQLwWlE8wjHUuGHnZy7KfLNEn5im1QPzqk85yGbjPF9f~EcrbPlRRF4FKy8mNyqb3XRNvVeKmRN~NqSwaTWfT3LahS2YyKspNWDGnove9PWD8vX68RYOSuncr86DLKBko0yz8Xac1dfY50VZDlYtlRd10A-YJuY-E1rpnOmXLnOTmY0m1chwhjD9RYkxWJLZsLGi957RMDzgMuCquB7FxsNGamLZLXQ__&Key-Pair-Id=K3EI6M078Z3AC3,20,7,4,1,raw/wikiart/wikiart_0000001.jpg
2,wikiart_0000002,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/2/image/image.jpg?Expires=1772117701&Signature=Kyx-u-PejV6d6pAC7wgkFraiLNDu7ROEPcN6yw--1W1b9IsGiXaKT~-xWzlv6yT1h99u3qJA437h0dsXvJEpx9BSA8hS-5C-7KOgR~M9hn~O0cIsfLDN6i2DHU4mIzqU92QBN46TU0ikmPMGj4KtsxDsbPEm357KeaUT39gy~vzBJZLzD5o25zn-5x-tl08wVtjtltrWgIv1-5oWPqX6p6Dk9r6kATt1x7wkcLHE~syOUOLsIRAJkU~EFZNVe9rBAArIhFZpfDWLOnoIbl2ICKgEKlwkcMuqRoWQ-DmHf1GOpcTIcyKcgJ9V~05DDO8LXhPHY~faLyG8lkrkhyT3PA__&Key-Pair-Id=K3EI6M078Z3AC3,16,6,20,2,raw/wikiart/wikiart_0000002.jpg
3,wikiart_0000003,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/3/image/image.jpg?Expires=1772117701&Signature=iHysoJB4WPPMtP5-WrEuf~pHN06PI3pF4ud9sZzyiCNFwwiKCHbXqVd8sTWi-srKkei9Tta0frKcPh6WL-htGaFJF9nXHWZ15E3aU-iMiXrB31ylZOSPUGF~zIT1OjXZA6QYzK2RlfMtVg~DVqOepG980Oth7nsLUC~6BOoQjdi~bXI-q-~PcTS33J6wV-lvsEvwKSR3Mn8hcjqFo5Vgy4Db8NYj7EXJMNkecWaTlBvGQ3eays2w82MZFhGPzed8UkDZ37DJ8FhCtuIXa6hpzpZ4PZVXWmJZQKejpmfcRJH34LdSdO~FVIZY1S4PkxgotgNI~v8IDzTeZIknC8qLeQ__&Key-Pair-Id=K3EI6M078Z3AC3,17,2,12,3,raw/wikiart/wikiart_0000003.jpg
4,wikiart_0000004,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/4/image/image.jpg?Expires=1772117701&Signature=QhnPTevpDZTuO63AD0Fl2uVSz-612oG-zznx7VGenbU6zHqskinC1DndaUiOjG8S0R-HWlMGGbxICZ8bLrGVHmTM4hi9ii3Q~IuuFVQVtqR9vTHJGtkJpE-xAcqotBnX1z2ZKlhDO2vQQ2VRWcwVSvZTnZJHx2J3pTM7AMCYS-TjtOKubGTspI166qS7nlaCFS5NfGcEf2-WNJXNgN1zWleJ3NnxhYbS3~nn9~yZvlicXUOF1c4KG9rBwKsfn6mhrnTfgctUibZnmaS34BSBcV-tnuWA5nQ5YnPeKa7sd2~EYhiSNIIRVTWJOwVhn-h-CmpZUKK-Gnw3i8iqe2obaw__&Key-Pair-Id=K3EI6M078Z3AC3,9,10,23,4,raw/wikiart/wikiart_0000004.jpg
5,wikiart_0000005,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/5/image/image.jpg?Expires=1772117701&Signature=HBIv4nAsvWPBR-jaHONfjlK5u38kfNurSfKTaan4SoBn11TbvjRl2iBSglNBBZ21oaqz3qP~oeNvPTVRUFfbtSMkb8dF5eVPdLofCZIbMvz9qpuuE0ZTNKyluCtNqsaLJVdBQSUoQJqkVvC4vbIh-qZv5jaBeMgWFbugAEPqc001NJn69cETV5HSFp2-GVrSyH0iEyv5JGcXacyV4wn-McMr1s1jQOjX68aIaQ4ueHWCoOuaMTosiSWn95T1qcLzD2N8KDIODR0ET8GVKrp4z96OJIspnCguSYisyWKgHkSwIw96tM4zXH1yAC1Hct~s~ISczx0aepjQJpBC0YNDxQ__&Key-Pair-Id=K3EI6M078Z3AC3,1,2,3,5,raw/wikiart/wikiart_0000005.jpg
6,wikiart_0000006,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/6/image/image.jpg?Expires=1772117701&Signature=ZFqy2CDCSjK3uFlz1IIanjixrmjLXNGmptEaxC-K4UJypJ3GR65unAa~cT8rTsk0~iLzDRVr3vf95SrjakDIoDNyD9sJQZx3sC00UXxtBQW32Ge67W9VTOLZ-6V0UERuAXZMUssujS8PlF1biFEzV8RWYz1GwdOGhFKnIKufi7P0ir6wTQDDf8m6Ey5gCbD-8UL-YxsQUXXxIwvV42q4DRuAB0w5bQsBAd74M0yGelPONpX6FDMW06CF8NdiDImPxr5K46JfxycmhuBKQqC41NPZoC3pM6WrNKxiQxoc1-sgnA4Hi~G~7KYYAPyFfxXybBgD4~uL8g4~MFz-pJL5eg__&Key-Pair-Id=K3EI6M078Z3AC3,22,10,21,6,raw/wikiart/wikiart_0000006.jpg
7,wikiart_0000007,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/7/image/image.jpg?Expires=1772117701&Signature=BotzCjBC~KJ-36bLyW18XoFtN8fZ8Xr-eXspncckF1MI5LkLzX7Jg78X1-8I7aJM-hjzLKWghOCL~s~yEYXzUKL9cQ-kjGKleIRoG4zAfdmNBYIxFr8UId9sPCHoQB-HbFrMX44VBseRPBi4jcTIA3L2-z9CWZcNj43SjLNkBD8S6B48d7efu8cV9wVZvsQmYHFfM-I1r049UXaSIO6WIeIotjsna4p-GbzqIKgum8lbWPsEYYrHsgz9w5QoTqlMiOvVN1VEG6dB209ElAw~6txZYxhiFU3qeT5nJrAE8f5-ovYKExwBL6ckEwhim9PMZQPX8IjjxYygVYG7zbb1xQ__&Key-Pair-Id=K3EI6M078Z3AC3,9,4,23,7,raw/wikiart/wikiart_0000007.jpg
8,wikiart_0000008,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/8/image/image.jpg?Expires=1772117701&Signature=Btt3xRj4tvlwb5AKgT7t9Focnd-QNcRkGdDCjunVll1dTctsuJNH6RmtdZKF4R9qmsz9-fCvai7v0CUNR9EY9U0~yhWE05-HESXncVp66UT8sdn6l1ecf~bIMoCj0OwSlqPqlN6yeQ~fU2aXmqWLFs3y6hTiP7PfhokiMs8w8n7NLOWvQu9WNP6dMK5kSPaA2jYV6Rihir~TgKjgQ6g5lDEjmVbeuSq4lsF25ZzxG1ZTb40SPzKrL2xgbAjmyxTAibraWrMD7NPrMdQYRnnvQ~PiknhvQP7nwaT2bhSXJPTESGD~W96i6l3f0h4I~XFLS689Vu8DVIr0lnSlEJm76A__&Key-Pair-Id=K3EI6M078Z3AC3,25,7,17,8,raw/wikiart/wikiart_0000008.jpg
9,wikiart_0000009,hf://huggan/wikiart/default/train,https://datasets-server.huggingface.co/cached-assets/huggan/wikiart/--/d559852d2b232e0fcf195e775866964f0564f2b5/--/default/train/9/image/image.jpg?Expires=1772117701&Signature=DC7YwO6KNqEmCrCumyBwg4VNIxteSAHD-rNk83AMPtJmbyzwvoZtmop~RiiG5jI0PPiQf0xQgQBwpFPTFKiAwwsybtqv0IxeQnJGrrcEH8oDlDrW6itawfXgC3N5eGfGvgzEMCET8Br5frKkTla5~g-eDX1MBYDoI8G~~Scaie5F8g4BfckmEeS2XYl5T7lVEVeBq581LJNKviVeVpKXLv87oD1ytyYAtZsvp646u3MHgRpp2dJ4apbQ6mXhqY6FPH3k8qN3~ct~Ei94t9CKRiKHyTwfw9KYNK~ROt-BWuh-wr3goz6aPDZbF4VCEphkKzFgOKrFLrAohBACXg8HNA__&Key-Pair-Id=K3EI6M078Z3AC3,11,6,21,9,raw/wikiart/wikiart_0000009.jpg
